cell_id,time_step,gene_1_mRNA,gene_1_protein,gene_2_mRNA,gene_2_protein,replicate,clone_id
7,1,0,29511,5,119954,1,7
7,2,0,29055,4,120592,1,7
7,3,0,28623,3,120825,1,7
7,4,0,28186,4,120850,1,7
7,5,0,27783,4,121268,1,7
7,6,0,27366,2,121301,1,7
7,7,0,26943,3,120571,1,7
7,8,0,26541,3,120444,1,7
7,9,0,26138,2,120131,1,7
7,10,0,25732,2,119863,1,7
7,11,0,25344,1,119025,1,7
7,12,0,24942,1,117827,1,7
7,13,0,24587,1,116620,1,7
7,14,0,24213,1,115423,1,7
7,15,0,23843,1,114157,1,7
7,16,0,23487,2,113022,1,7
7,17,0,23114,2,112305,1,7
7,18,0,22754,1,111406,1,7
7,19,0,22438,2,110567,1,7
7,20,0,22107,1,109474,1,7
7,21,0,21773,1,108337,1,7
7,22,0,21423,1,107315,1,7
7,23,0,21084,1,106240,1,7
7,24,0,20759,1,105181,1,7
7,25,0,20454,1,104104,1,7
7,26,1,20167,0,102555,1,7
7,27,2,20931,0,101261,1,7
7,28,2,21744,0,99682,1,7
7,29,2,22483,0,98119,1,7
7,30,2,23253,0,96643,1,7
7,31,2,23974,0,95184,1,7
7,32,2,24761,0,93812,1,7
7,33,1,25119,0,92407,1,7
7,34,1,25249,0,91063,1,7
7,35,1,25408,1,89799,1,7
7,36,1,25542,1,89009,1,7
7,37,0,25539,1,88222,1,7
7,38,1,25160,0,87205,1,7
7,39,1,25321,0,85847,1,7
7,40,1,25540,0,84557,1,7
7,41,1,25696,2,83851,1,7
7,42,1,25844,2,83698,1,7
7,43,0,25583,3,83691,1,7
7,44,0,25158,3,84010,1,7
7,45,0,24796,4,84848,1,7
7,46,0,24420,4,85721,1,7
7,47,0,24038,4,86723,1,7
7,48,0,23678,3,87327,1,7
8,0,1,22051,2,64759,1,8
8,1,0,21947,2,64891,1,8
8,2,0,21614,1,64548,1,8
8,3,0,21228,2,64445,1,8
8,4,0,20898,2,64502,1,8
8,5,0,20585,0,64018,1,8
8,6,0,20257,1,63333,1,8
8,7,0,19958,1,63036,1,8
8,8,0,19644,2,62948,1,8
8,9,0,19312,2,63071,1,8
8,10,0,19039,2,63250,1,8
8,11,1,18850,1,62882,1,8
8,12,1,19153,1,62487,1,8
8,13,0,19260,1,62059,1,8
8,14,0,18957,1,61673,1,8
8,15,0,18651,2,61729,1,8
8,16,0,18361,2,61954,1,8
8,17,0,18082,2,62174,1,8
8,18,0,17817,2,62268,1,8
8,19,1,17767,1,62033,1,8
8,20,1,18048,2,61864,1,8
8,21,1,18378,1,61717,1,8
8,22,2,19039,1,61356,1,8
8,23,2,19872,2,61391,1,8
8,24,2,20674,3,61646,1,8
8,25,2,21414,3,62492,1,8
8,26,2,22204,3,63142,1,8
8,27,2,22976,3,64344,1,8
8,28,2,23804,3,65035,1,8
8,29,2,24542,3,65752,1,8
8,30,1,25331,3,66428,1,8
8,31,1,25521,2,66843,1,8
8,32,1,25672,2,66874,1,8
8,33,1,25794,2,66967,1,8
8,34,1,25918,4,67654,1,8
8,35,1,26047,3,68609,1,8
8,36,1,26214,2,69138,1,8
8,37,1,26410,2,69198,1,8
8,38,1,26551,2,69262,1,8
8,39,1,26674,4,69999,1,8
8,40,1,26780,6,72138,1,8
8,41,2,27238,6,74989,1,8
8,42,2,27857,4,76885,1,8
8,43,2,28554,5,78317,1,8
8,44,2,29255,4,79734,1,8
8,45,1,29462,3,80621,1,8
8,46,1,29516,3,81090,1,8
8,47,0,29598,3,81567,1,8
8,48,0,29168,4,82485,1,8
9,0,2,22204,2,38347,1,9
9,1,2,22997,2,38833,1,9
9,2,2,23766,1,39064,1,9
9,3,2,24534,1,39009,1,9
9,4,1,24950,1,38928,1,9
9,5,1,25151,1,39078,1,9
9,6,1,25337,2,39072,1,9
9,7,1,25493,4,40469,1,9
9,8,0,25236,4,42061,1,9
9,9,2,25169,3,43269,1,9
9,10,2,25921,4,44515,1,9
9,11,1,26381,3,45731,1,9
9,12,1,26548,2,46154,1,9
9,13,1,26669,2,46572,1,9
9,14,3,27014,3,47369,1,9
9,15,2,27784,3,48377,1,9
9,16,2,28461,4,49621,1,9
9,17,2,29180,5,51277,1,9
9,18,2,29853,5,53383,1,9
9,19,2,30510,5,55397,1,9
9,20,1,30931,5,57220,1,9
9,21,1,31042,5,59178,1,9
9,22,1,31135,4,61065,1,9
9,23,1,31254,3,61816,1,9
9,24,1,31343,4,62826,1,9
9,25,1,31407,3,63583,1,9
9,26,1,31558,2,64055,1,9
9,27,1,31594,2,63666,1,9
9,28,1,31677,2,63831,1,9
9,29,1,31772,3,64062,1,9
9,30,1,31846,3,64669,1,9
